"ENST_Id","ENST_Entscheidung","ENST_Stichwort"
2019,409,158
2020,409,247
2021,409,120
2022,409,57
2023,409,83
2024,410,225
2025,410,229
2026,411,139
2027,411,83
2028,412,211
2029,412,119
2030,413,119
2031,413,122
2032,413,140
2033,414,34
2034,414,249
2035,415,82
2036,415,132
2037,415,225
2038,415,119
2039,416,222
2040,416,119
2041,417,225
2042,418,247
2043,418,215
2044,418,241
2045,419,103
2046,420,249
2047,420,238
2048,420,223
2049,421,83
2050,422,210
2051,422,139
2052,423,201
2053,423,207
2054,423,145
2055,423,77
2056,423,88
2057,424,163
2058,424,132
2059,424,145
2060,425,120
2061,429,32
2062,429,225
2063,429,75
2064,431,215
2065,431,117
2066,432,213
2067,434,117
2068,434,119
2069,435,187
2070,435,198
2071,436,186
2072,436,207
2073,437,223
2074,439,119
2075,440,119
2076,440,122
2077,440,111
2078,440,165
2079,440,215
2080,441,161
2081,441,132
2082,444,247
2083,444,207
2084,446,187
2085,446,82
2086,447,229
2087,447,223
2088,448,182
2089,448,113
2090,448,225
2091,451,83
2092,452,221
2093,454,180
2094,454,119
2095,455,197
2096,456,111
2097,456,213
2098,458,229
2099,459,122
2100,461,202
2101,461,46
2102,462,192
2103,462,208
2104,462,187
2105,462,32
2106,463,192
2107,463,158
2108,463,79
2109,463,83
2110,464,158
2111,464,192
2112,464,83
2113,464,75
2115,465,243
2116,466,111
2117,466,47
2118,467,69
2119,467,221
2120,468,210
2121,468,129
2122,468,111
2123,469,223
2124,469,47
2125,470,82
2126,470,150
2127,471,85
2128,471,47
2129,471,226
2130,472,221
2131,472,34
2132,472,32
2133,472,147
2134,472,121
2135,473,79
2136,473,84
2137,473,215
2138,473,152
2139,474,158
2140,474,32
2141,474,97
2142,475,215
2143,475,124
2144,475,32
2145,476,201
2146,476,211
2147,477,82
2148,477,187
2149,477,208
2150,477,150
2151,478,158
2152,478,79
2153,478,82
2154,478,83
2155,479,201
2156,479,207
2157,479,122
2158,479,247
2159,479,32
2160,480,148
2161,480,132
2162,480,133
2163,480,140
2164,481,136
2165,481,140
2166,481,83
2167,482,75
2168,482,82
2169,482,52
2170,482,222
2171,483,164
2172,483,182
2173,483,119
2174,484,158
2175,484,171
2176,484,140
2177,484,83
2178,485,223
2179,485,119
2180,485,111
2181,485,172
2182,486,82
2183,486,83
2184,486,158
2185,487,233
2186,487,191
2187,487,207
2188,487,209
2189,487,222
2190,488,133
2191,488,77
2192,488,148
2193,488,120
2194,489,79
2195,489,82
2196,489,247
2197,489,158
2198,489,97
2199,490,198
2200,490,209
2201,490,186
2202,490,32
2203,490,82
2204,491,198
2205,491,207
2206,491,187
2207,491,82
2208,491,32
2209,491,97
2210,492,132
2211,492,238
2212,492,215
2214,493,132
2215,493,164
2216,493,238
2217,493,144
2218,494,249
